Permission,count
com.google.android.gms.permission.AD_ID,18
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,18
android.permission.WAKE_LOCK,18
android.permission.INTERNET,18
android.permission.ACCESS_NETWORK_STATE,18
android.permission.POST_NOTIFICATIONS,18
android.permission.VIBRATE,17
android.permission.FOREGROUND_SERVICE,17
android.permission.SCHEDULE_EXACT_ALARM,15
android.permission.READ_EXTERNAL_STORAGE,14
android.permission.WRITE_EXTERNAL_STORAGE,14
com.android.vending.BILLING,13
android.permission.ACCESS_ADSERVICES_ATTRIBUTION,12
android.permission.ACCESS_ADSERVICES_AD_ID,12
android.permission.ACCESS_WIFI_STATE,11
android.permission.RECEIVE_BOOT_COMPLETED,11
android.permission.ACCESS_ADSERVICES_TOPICS,10
android.permission.USE_CREDENTIALS,8
com.google.android.c2dm.permission.RECEIVE,8
android.permission.CAMERA,6
android.permission.READ_MEDIA_AUDIO,6
android.permission.ACTIVITY_RECOGNITION,5
android.permission.RECEIVE_USER_PRESENT,4
android.permission.REORDER_TASKS,4
android.permission.USE_BIOMETRIC,4
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE,4
android.permission.USE_FINGERPRINT,4
android.permission.READ_MEDIA_IMAGES,4
android.permission.ACCESS_NOTIFICATION_POLICY,4
android.permission.READ_MEDIA_VIDEO,3
android.permission.DETECT_SCREEN_CAPTURE,3
android.permission.ACCESS_COARSE_LOCATION,3
android.permission.RECORD_AUDIO,3
android.permission.AUTHENTICATE_ACCOUNTS,3
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,3
com.huawei.permission.external_app_settings.USE_COMPONENT,2
android.permission.SET_ALARM,2
android.permission.EXPAND_STATUS_BAR,2
android.permission.GET_ACCOUNTS,2
android.permission.READ_SYNC_SETTINGS,2
android.permission.WRITE_SYNC_SETTINGS,2
android.permission.SYSTEM_ALERT_WINDOW,2
com.google.android.permission.BIND_GET_INSTALL_REFERRER_SERVICE,2
android.permission.BLUETOOTH_ADMIN,2
android.permission.BLUETOOTH,2
android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS,2
android.permission.FOREGROUND_SERVICE_SPECIAL_USE,2
com.google.android.providers.gsf.permission.READ_GSERVICES,2
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,2
android.permission.READ_PHONE_STATE,2
android.permission.USE_FULL_SCREEN_INTENT,2
android.permission.BODY_SENSORS,2
android.permission.BODY_SENSORS_BACKGROUND,2
com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,2
android.permission.MODIFY_AUDIO_SETTINGS,2
com.huawei.android.launcher.permission.READ_SETTINGS,1
com.huawei.android.launcher.permission.WRITE_SETTINGS,1
android.permission.READ_APP_BADGE,1
com.oppo.launcher.permission.READ_SETTINGS,1
com.oppo.launcher.permission.WRITE_SETTINGS,1
me.everything.badger.permission.BADGE_COUNT_READ,1
me.everything.badger.permission.BADGE_COUNT_WRITE,1
android.permission.DEVICE_POWER,1
com.sonyericsson.home.permission.BROADCAST_BADGE,1
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,1
com.anddoes.launcher.permission.UPDATE_COUNT,1
com.majeur.launcher.permission.UPDATE_BADGE,1
com.huawei.android.launcher.permission.CHANGE_BADGE,1
android.permission.FOREGROUND_SERVICE_MICROPHONE,1
com.appsky.slumbercycle.sleeptracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.google.android.gms.permission.ACTIVITY_RECOGNITION,1
com.appsky.calendar.periodtracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
homeworkoutapp.homeworkout.fitness.workout.loseweight.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.READ_MEDIA_VISUAL_USER_SELECTED,1
android.permission.READ_CALENDAR,1
android.permission.WRITE_CALENDAR,1
com.female.inspire.workout.shefitness.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.RUN_USER_INITIATED_JOBS,1
dance.fit.zumba.weightloss.danceburn.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.CHANGE_WIFI_MULTICAST_STATE,1
com.himshers.hims.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.ovuline.fertility.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
weightloss.weightlossforwomen.workoutforwomen.womenworkout.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
menloseweight.loseweightappformen.weightlossformen.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.QUICKBOOT_POWERON,1
android.permission.CHANGE_CONFIGURATION,1
net.beginners.weight.loss.workout.women.yoga.go.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.android.vending.CHECK_LICENSE,1
pilatesworkout.yogaworkout.loseweight.workoutapps.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.workplan.alarm.permission.SET_ALARM,1
com.loseweight.seven.minute.workout.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
loseweightapp.loseweightappforwomen.womenworkoutathome.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.himshers.hers.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.DISABLE_KEYGUARD,1
com.sonyericsson.home.action.UPDATE_BADGE,1
com.sec.android.provider.badge.permission.READ,1
com.sec.android.provider.badge.permission.WRITE,1
com.htc.launcher.permission.READ_SETTINGS,1
com.htc.launcher.permission.UPDATE_SHORTCUT,1
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,1
